feature,importance,model,profile,split_count
json_like_score,0.14285714285714285,gradient_boosted_stumps,smallest,30
byte_entropy,0.14285714285714285,gradient_boosted_stumps,smallest,30
lz_match_estimate,0.10952380952380952,gradient_boosted_stumps,smallest,23
run_length_score,0.10476190476190476,gradient_boosted_stumps,smallest,22
ascii_ratio,0.08571428571428572,gradient_boosted_stumps,smallest,18
local_entropy_std,0.08095238095238096,gradient_boosted_stumps,smallest,17
extension=.exe,0.0761904761904762,gradient_boosted_stumps,smallest,16
extension=.ppm,0.06666666666666667,gradient_boosted_stumps,smallest,14
max_byte_frequency,0.05714285714285714,gradient_boosted_stumps,smallest,12
source_code_like_score,0.03333333333333333,gradient_boosted_stumps,smallest,7
extension=.pt,0.03333333333333333,gradient_boosted_stumps,smallest,7
whitespace_ratio,0.02857142857142857,gradient_boosted_stumps,smallest,6
first_order_delta_entropy,0.02857142857142857,gradient_boosted_stumps,smallest,6
newline_ratio,0.004761904761904762,gradient_boosted_stumps,smallest,1
extension=.txt,0.004761904761904762,gradient_boosted_stumps,smallest,1
byte_entropy,0.07865168539325842,random_forest,fastest,21
file_size,0.0749063670411985,random_forest,fastest,20
ascii_ratio,0.07116104868913857,random_forest,fastest,19
max_byte_frequency,0.06741573033707865,random_forest,fastest,18
byte_frequency_std,0.056179775280898875,random_forest,fastest,15
local_entropy_mean,0.056179775280898875,random_forest,fastest,15
repeated_ngram_ratio,0.04868913857677903,random_forest,fastest,13
lz_match_estimate,0.0449438202247191,random_forest,fastest,12
digit_ratio,0.0449438202247191,random_forest,fastest,12
first_order_delta_entropy,0.03745318352059925,random_forest,fastest,10
entropy_gradient,0.0299625468164794,random_forest,fastest,8
numeric_array_score,0.0299625468164794,random_forest,fastest,8
local_entropy_std,0.0299625468164794,random_forest,fastest,8
repetition_score,0.026217228464419477,random_forest,fastest,7
unique_byte_count,0.026217228464419477,random_forest,fastest,7
newline_ratio,0.026217228464419477,random_forest,fastest,7
run_length_score,0.02247191011235955,random_forest,fastest,6
sample_size,0.02247191011235955,random_forest,fastest,6
source_code_like_score,0.02247191011235955,random_forest,fastest,6
whitespace_ratio,0.0149812734082397,random_forest,fastest,4
printable_ratio,0.0149812734082397,random_forest,fastest,4
is_text_like,0.0149812734082397,random_forest,fastest,4
longest_run,0.0149812734082397,random_forest,fastest,4
zero_ratio,0.0149812734082397,random_forest,fastest,4
structured_text_score,0.011235955056179775,random_forest,fastest,3
extension=.exe,0.00749063670411985,random_forest,fastest,2
is_binary_like,0.00749063670411985,random_forest,fastest,2
csv_like_score,0.00749063670411985,random_forest,fastest,2
magic_signature_category=pe,0.00749063670411985,random_forest,fastest,2
extension=.csv,0.00749063670411985,random_forest,fastest,2
extension=.bin,0.00749063670411985,random_forest,fastest,2
mime_category=image,0.00749063670411985,random_forest,fastest,2
mime_category=application,0.00749063670411985,random_forest,fastest,2
mime_category=unknown,0.003745318352059925,random_forest,fastest,1
magic_signature_category=unknown,0.003745318352059925,random_forest,fastest,1
mime_category=archive,0.003745318352059925,random_forest,fastest,1
extension=.txt,0.003745318352059925,random_forest,fastest,1
is_already_compressed,0.003745318352059925,random_forest,fastest,1
mime_category=document,0.003745318352059925,random_forest,fastest,1
extension=.wav,0.003745318352059925,random_forest,fastest,1
mime_category=text,0.003745318352059925,random_forest,fastest,1
extension=.pdf,0.003745318352059925,random_forest,fastest,1
mean_byte_frequency,0.003745318352059925,random_forest,fastest,1
lz_match_estimate,0.2777777777777778,gradient_boosted_stumps,balanced,50
byte_entropy,0.16666666666666666,gradient_boosted_stumps,balanced,30
extension=.ppm,0.16666666666666666,gradient_boosted_stumps,balanced,30
local_entropy_std,0.1111111111111111,gradient_boosted_stumps,balanced,20
ascii_ratio,0.08333333333333333,gradient_boosted_stumps,balanced,15
max_byte_frequency,0.08333333333333333,gradient_boosted_stumps,balanced,15
byte_frequency_std,0.027777777777777776,gradient_boosted_stumps,balanced,5
extension=.pt,0.027777777777777776,gradient_boosted_stumps,balanced,5
extension=.txt,0.027777777777777776,gradient_boosted_stumps,balanced,5
first_order_delta_entropy,0.027777777777777776,gradient_boosted_stumps,balanced,5
